2020-02-11/21:44:00		Error while creating table: no such column: F 
2020-02-11/21:44:02		File Moved Successfully hypothyroid_21012019_034556.csv
2020-02-11/23:19:44		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:19:59		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:00		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:01		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:02		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:03		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:04		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:04		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:20:04		 hypothyroid_21012019_034556.csv: File loaded successfully!!
